ETIQUETA (CLAVE DE INVENTARIO,DESCRIPCION,MARCA,MODELO,SERIE,TIPO,ESTADO FISICO,RESPONSABLE DEL AREA,DEPARTAMENTO:,OBSERVACIÓN  ,PISO,DIRECTOR,ADMINISTRADOR,FECHA DE INGRESO AL AREA
13266,SECADORA,MAYTAG,MDG75LNVWW,28866286NE,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13267,SECADORA,MAYTAG,MDG75LNVWW,28865196NE,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86306,MESA ACERO INOXIDABLE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13288,ESTANTE METALICO,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
12577,ESTANTE METALICO,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13256,ESTANTE METALICO,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13255,ESTANTE METALICO,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11722,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13473,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
49009,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87487,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
18808,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
LAV01,SILLA VERDE,,,,,B,JULIO OMAR CARRETE IBARRA,LAVANDERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86255,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86256,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CEPD-01,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CEPD-02,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CEPD-03,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CEPD-04,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
CEPD-05,BOTE DE PLASTICO PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES CONSULTA EXTERNA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118813,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118814,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86451,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118815,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86454,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86259,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86457,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
EP-01,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
EP-02,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,AREAS COMUNES ENTRADA PRINCIPAL,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
REC-01,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87536,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86463,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118810,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
8646,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86459,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118811,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
96258,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118812,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86211,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86461,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87538,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86463,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86466,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118813,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
REC-02,BOTE PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
REC-03,BOTE DE PLASTICO PARA BASURA DE CAMPANA,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
8646,BANCA METALICA PARA 3 PERSONAS,,,,,B,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,RECEPCION,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87439,COMPUTADORA NEGRA,HP,FV583A,3LQ9452WKO,,B,ING. EBERT NAJERA ,ARCHIVO,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
46965,IMPRESORA NEGRA,SAMSUNG,NL-1640,22L2BKBS900691M,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13439,ESCRITORIO,,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
BRAQ-01,ESCRITORIO ENSAMBLADO,,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
23260,ELECTROCARDIOGRAMA,WELCHALLYN,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13456,NEGATOSCOPIO,,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
BRAQ-02,TARJA DOBLE,,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
BRAQ-03,UPS,CYBERPOWER,,,,B,ING. EBERT NAJERA ,ANEXO JEFATURA DE ENFERMERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
51391,ESCRITORIO,,,,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87419,CAJONERA 2 CAJONES,,,,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
SUG01,EQUIPO DE COMPUTO,HP,TPC-Q028-20,,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123204,SILLA SECRETARIAL,,,,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
SUG02,BOTE PARA BASURA CON PEDAL,,,,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
SUG03,REGULADOR DE VOLTAJE,MICROVOIT,,600E23526,,B,MANUEL ALEJANDRO GERONIMO NUÑO DENA,SUG,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118722,ESCRITORIO EN L CAFÉ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
76210,SILLA VERDE,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120307,SILLA NEGRA AJUSTABLE CON DESCANSA BRAZOS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
133130,CAJONERA CAFÉ 3 CAJONES ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120308,SILLA NEGRA AJUSTABLE CON DESCANSA BRAZOS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 02,COMPUTADORA NEGRA,HP,20-C401LA,8CC9034NDN,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
67881,ESTANTERIA BLANCA,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120304,ESCRITORIO EN L CAFÉ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 03,REGULADOR,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123196,ROPERO,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86351,TELEFONO NEGRO,UNIDEN,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
AR303-5004131,TELEFONO CISCO,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
56688,REFRIGERADOR  ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120313,SILLA NEGRA AJUSTABLE  ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 04,BOTE P/BASURA CAMPANA,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
123263,ESTANTE BLANCO CON CAJONES,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
91592,ESTANTE DE MADERA CON PELDAÑOS ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13125,BASCULA  ,TORINO,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86354,SILLA VERDE CON DESCANSABRAZOS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 05 ,CAJONERA COLOR CAFÉ 2 CAJONES,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 06,CAJONERA COLOR CAFÉ 2 CAJONES,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 07,MIUEBLE DE 8 PELDAÑOS ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
H.P. 08,TARJA DE ACERO INOXIDABLE,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118828,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118829,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118827,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118826,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118825,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118824,REPISA BLANCA 3 PIEZAS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120315,SILLA NEGRA AJUSTABLE,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120314,SILLA NEGRA AJUSTABLE,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120311,SILLA NEGRA AJUSTABLE,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
86680,ESCRITORIO EN L CAFÉ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
120306,SILLA NEGRA AJUSTABLE CON DESCANSA BRAZOS,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,ESTUCHE DE DIAGNOSTICO ,WELCH ALLYN,901026A,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
DREMCPDOCIA2020.0,BAUMANOMETRO CON ESTETOSCOPIO,WELCH ALLYN,DS44MC,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
915191,MESADE CENTRO CAFÉ,,,,,B,E.E. JULIA VIVIANA CORDOVA LOPEZ,H.P.CONTROL ENFERMERAS,,PRIMER PISO,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
